Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUNPHARMA,EQ,19-11-2019,424.55,425,429.9,421.6,425.2,425.9,425.91,4163853,1773414711,65315,1352330,32.48
SUNPHARMA,EQ,20-11-2019,425.9,427.2,460.6,423.85,448.5,450,447.15,23107507,10332456976,233907,5289320,22.89
SUNPHARMA,EQ,21-11-2019,450,450,454.45,443.6,447.05,447.15,449.1,7480460,3359481950,85370,2543785,34.01
SUNPHARMA,EQ,22-11-2019,447.15,450,461.9,445.1,450.8,452.1,453.5,12114721,5494020258,126896,1972013,16.28
SUNPHARMA,EQ,25-11-2019,452.1,453,463.9,450,458.45,458.95,459.63,8251208,3792463214,112128,2128537,25.8
SUNPHARMA,EQ,26-11-2019,458.95,463.8,467.4,446.5,452,450.75,455.67,11278843,5139484796,119712,4462397,39.56
SUNPHARMA,EQ,27-11-2019,450.75,449.95,461,447.55,459.25,458.75,455.44,6481012,2951681975,63515,2618433,40.4
SUNPHARMA,EQ,28-11-2019,458.75,456.2,462.4,455.15,459.5,457.35,459.08,4005893,1839036431,52474,900949,22.49
SUNPHARMA,EQ,29-11-2019,457.35,458.4,460.55,447.45,449,449.85,452.73,3198828,1448208887,52523,1101883,34.45
SUNPHARMA,EQ,02-12-2019,449.85,449,449.6,437,440,440,440.96,4933088,2175285421,60337,2262921,45.87
SUNPHARMA,EQ,03-12-2019,440,441.4,442.2,430.5,433.6,433.6,436.7,3602073,1573020000,52508,1377174,38.23
SUNPHARMA,EQ,04-12-2019,433.6,433.5,444.7,431.7,443.05,443.7,439.74,4318531,1899035709,72952,1203125,27.86
SUNPHARMA,EQ,05-12-2019,443.7,440,441.95,433.25,436.5,436.7,436.45,4096921,1788097479,99191,1561410,38.11
SUNPHARMA,EQ,06-12-2019,436.7,440.3,444.2,427,428.4,428.6,435.28,5805588,2527056403,58353,1801025,31.02
SUNPHARMA,EQ,09-12-2019,428.6,431.85,434.6,423.6,427,427,430.19,4959765,2133630617,63358,1726339,34.81
SUNPHARMA,EQ,10-12-2019,427,429.6,435.75,425.3,427.6,427.65,430.52,5578960,2401847381,74212,1152558,20.66
SUNPHARMA,EQ,11-12-2019,427.65,429.1,431.9,425.15,429.9,429.8,428.75,3322986,1424745016,64060,972927,29.28
SUNPHARMA,EQ,12-12-2019,429.8,430.9,437.9,430.25,433.05,434.15,434.37,2794856,1214014561,51164,899140,32.17
SUNPHARMA,EQ,13-12-2019,434.15,437.6,441.9,425.6,437.75,439.25,434.62,5386394,2341056612,63305,1366940,25.38
SUNPHARMA,EQ,16-12-2019,439.25,431.25,437.2,426.4,435,435.15,433.05,8290756,3590298605,95443,1963584,23.68
SUNPHARMA,EQ,17-12-2019,435.15,434,437.5,426.25,429.7,429.05,430.58,6407264,2758846949,75881,2337177,36.48
SUNPHARMA,EQ,18-12-2019,429.05,430,441.4,427.3,439.8,439.75,435.75,5341984,2327793869,61223,1495478,27.99
SUNPHARMA,EQ,19-12-2019,439.75,439.8,440.6,427.5,433.35,433.6,433.15,6465219,2800437387,68937,1871303,28.94
SUNPHARMA,EQ,20-12-2019,433.6,429.15,436.7,428.05,430.3,430.3,431.82,7157364,3090683599,73641,2580724,36.06
SUNPHARMA,EQ,23-12-2019,430.3,427.1,432,426.6,427.5,428.4,429.24,4534617,1946433571,48100,1771162,39.06
SUNPHARMA,EQ,24-12-2019,428.4,428,432.45,425.4,429.15,429.8,429.44,4210004,1807951345,42944,916846,21.78
SUNPHARMA,EQ,26-12-2019,429.8,430.9,431.4,420.65,421.9,422.15,426.69,5296867,2260117554,51320,1449301,27.36
SUNPHARMA,EQ,27-12-2019,422.15,422,427.15,421.4,426,426,424.73,3413181,1449674346,38150,780417,22.86
SUNPHARMA,EQ,30-12-2019,426,428.95,433.5,426.7,429.5,430.15,430.53,4758825,2048796571,46376,757570,15.92
SUNPHARMA,EQ,31-12-2019,430.15,430.1,435.4,428.7,432.3,432.55,432.59,2957369,1279319641,30191,1168468,39.51
SUNPHARMA,EQ,01-01-2020,432.55,432.95,436.45,431.25,433.7,434.3,434.19,2321850,1008133830,26860,535495,23.06
